fiscal_year,district,local_admin_org,waste_amount,unit
2564,เมืองนครปฐม,เทศบาลนครนครปฐม,0.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลเมืองนครปฐม,210.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลดอนยายหอม,58.5,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลธรรมศาลา,4.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลบ่อพลับ,40.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลโพรงมะเดื่อ,5.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลเมืองสามควายเผือก,63.7,ตันต่อปี
2564,เมืองนครปฐม,เทศบาลตำบลตาก้อง,20.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลถนนขาด,40.9,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลทัพหลวง,0.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลทุ่งน้อย,10.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลธรรมศาลา,0.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลบางแขม,7.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลบ้านยาง,63.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลพระประโทน,6.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลโพรงมะเดื่อ,45.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลลำพยา,4.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังตะกู,175.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังเย็น,5.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลสนามจันทร์,7.8,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลสระกระเทียม,12.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลสวนป่าน,60.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลดอนยายหอม,50.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองงูเหลือม,16.26,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองดินแดง,124.4,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองปากโลง,15.0,ตันต่อปี
2564,เมืองนครปฐม,องค์การบริหารส่วนตำบลห้วยจรเข้,0.0,ตันต่อปี
2564,กำแพงแสน,เทศบาลตำบลกำแพงแสน,15.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลกระตีบ,65.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลกำแพงแสน,204.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลดอนข่อย,51.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งกระพังโหม,306.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งขวาง,4.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งบัว,25.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งลูกนก,266.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลรางพิกุล,20.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลวังน้ำเขียว,6.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลสระพัฒนา,64.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลสระสี่มุม,390.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลหนองกระทุ่ม,32.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยขวาง,100.0,ตันต่อปี
2564,กำแพงแสน,องค์การบริหารส่วนตำบลห้วยม่วง,135.0,ตันต่อปี
