fiscal_year,district,local_admin_org,waste_amount,unit
2564,เมือง,เทศบาลนครนครปฐม,0.0,ตันต่อปี
2564,เมือง,เทศบาลเมืองนครปฐม,210.0,ตันต่อปี
2564,เมือง,เทศบาลตำบลดอนยายหอม,58.5,ตันต่อปี
2564,เมือง,เทศบาลตำบลธรรมศาลา,4.0,ตันต่อปี
2564,เมือง,เทศบาลตำบลบ่อพลับ,40.0,ตันต่อปี
2564,เมือง,เทศบาลตำบลโพรงมะเดื่อ,5.0,ตันต่อปี
2564,เมือง,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2564,เมือง,เทศบาลเมืองสามควายเผือก,63.7,ตันต่อปี
2564,เมือง,ทต.ตาก้อง,20.0,ตันต่อปี
2564,เมือง,อบต.ถนนขาด,40.9,ตันต่อปี
2564,เมือง,อบต.ทัพหลวง,0.0,ตันต่อปี
2564,เมือง,อบต.ทุ่งน้อย,10.0,ตันต่อปี
2564,เมือง,อบต.ธรรมศาลา,0.0,ตันต่อปี
2564,เมือง,อบต.บางแขม,7.0,ตันต่อปี
2564,เมือง,อบต.บ้านยาง,63.0,ตันต่อปี
2564,เมือง,อบต.พระประโทน,6.0,ตันต่อปี
2564,เมือง,อบต.โพรงมะเดื่อ,45.0,ตันต่อปี
2564,เมือง,อบต.ลำพยา,4.0,ตันต่อปี
2564,เมือง,อบต.วังตะกู,175.0,ตันต่อปี
2564,เมือง,อบต.วังเย็น,5.0,ตันต่อปี
2564,เมือง,อบต.สนามจันทร์,7.8,ตันต่อปี
2564,เมือง,อบต.สระกระเทียม,12.0,ตันต่อปี
2564,เมือง,อบต.สวนป่าน,60.0,ตันต่อปี
2564,เมือง,อบต.ดอนยายหอม,50.0,ตันต่อปี
2564,เมือง,อบต.หนองงูเหลือม,16.26,ตันต่อปี
2564,เมือง,อบต.หนองดินแดง,124.4,ตันต่อปี
2564,เมือง,อบต.หนองปากโลง,15.0,ตันต่อปี
2564,เมือง,อบต.ห้วยจรเข้,0.0,ตันต่อปี
2564,กำแพงแสน,เทศบาลตำบลกำแพงแสน,15.0,ตันต่อปี
2564,กำแพงแสน,อบต.กระตีบ,65.0,ตันต่อปี
2564,กำแพงแสน,อบต.กำแพงแสน,204.0,ตันต่อปี
2564,กำแพงแสน,อบต.ดอนข่อย,51.0,ตันต่อปี
2564,กำแพงแสน,อบต.ทุ่งกระพังโหม,306.0,ตันต่อปี
2564,กำแพงแสน,อบต.ทุ่งขวาง,4.0,ตันต่อปี
2564,กำแพงแสน,อบต.ทุ่งบัว,25.0,ตันต่อปี
2564,กำแพงแสน,อบต.ทุ่งลูกนก,266.0,ตันต่อปี
2564,กำแพงแสน,อบต.รางพิกุล,20.0,ตันต่อปี
2564,กำแพงแสน,อบต.วังน้ำเขียว,6.0,ตันต่อปี
2564,กำแพงแสน,อบต.สระพัฒนา,64.0,ตันต่อปี
2564,กำแพงแสน,อบต.สระสี่มุม,390.0,ตันต่อปี
2564,กำแพงแสน,อบต.หนองกระทุ่ม,32.0,ตันต่อปี
2564,กำแพงแสน,อบต.ห้วยขวาง,100.0,ตันต่อปี
2564,กำแพงแสน,อบต.ห้วยม่วง,135.0,ตันต่อปี
2564,กำแพงแสน,อบต.ห้วยหมอนทอง,7.0,ตันต่อปี
2564,นครชัยศรี,เทศบาลตำบลขุนแก้ว,127.0,ตันต่อปี
2564,นครชัยศรี,เทศบาลตำบลนครชัยศรี,319.0,ตันต่อปี
2564,นครชัยศรี,เทศบาลตำบลห้วยพลู,78.2,ตันต่อปี
2564,นครชัยศรี,ทต.ศีรษะทอง,20.0,ตันต่อปี
2564,นครชัยศรี,อบต.งิ้วราย,0.0,ตันต่อปี
2564,นครชัยศรี,อบต.ดอนแฝก,39.0,ตันต่อปี
2564,นครชัยศรี,อบต.ท่ากระชับ,4.0,ตันต่อปี
2564,นครชัยศรี,อบต.ท่าตำหนัก,10.0,ตันต่อปี
2564,นครชัยศรี,อบต.ท่าพระยา,14.0,ตันต่อปี
2564,นครชัยศรี,อบต.ไทยาวาส,10.0,ตันต่อปี
2564,นครชัยศรี,อบต.นครชัยศรี,60.0,ตันต่อปี
2564,นครชัยศรี,อบต.บางแก้ว,3.0,ตันต่อปี
2564,นครชัยศรี,อบต.บางแก้วฟ้า,15.0,ตันต่อปี
2564,นครชัยศรี,อบต.บางพระ,2.0,ตันต่อปี
2564,นครชัยศรี,อบต.บางระกำ,10.0,ตันต่อปี
2564,นครชัยศรี,อบต.พะเนียด,10.0,ตันต่อปี
2564,นครชัยศรี,อบต.ลานตากฟ้า,12.0,ตันต่อปี
2564,นครชัยศรี,อบต.วัดแค,19.0,ตันต่อปี
2564,นครชัยศรี,อบต.วัดละมุด,43.0,ตันต่อปี
2564,นครชัยศรี,อบต.วัดสำโรง,0.0,ตันต่อปี
2564,นครชัยศรี,อบต.ศรีมหาโพธิ์,0.0,ตันต่อปี
2564,นครชัยศรี,อบต.โคกพระเจดีย์,0.0,ตันต่อปี
2564,นครชัยศรี,อบต.สัมปทวน,0.0,ตันต่อปี
2564,นครชัยศรี,อบต.ห้วยพลู,60.0,ตันต่อปี
